book_id,subject,semester,past_borrow_count,course_relevance,demand_level
1,Physics,8,183,1,High
2,Biology,3,169,1,High
3,Biology,8,74,1,Medium
4,Mathematics,3,68,1,Medium
5,Computer Science,7,167,1,High
6,Computer Science,5,34,0,Low
7,Management,8,132,1,High
8,Economics,8,34,1,Low
9,Biology,5,141,0,Medium
10,Mathematics,5,163,1,High
11,Economics,2,52,1,Medium
12,Economics,6,79,0,Medium
13,Biology,8,49,1,Medium
14,Physics,1,16,1,Low
15,Management,5,77,1,Medium
16,Management,8,109,0,Medium
17,Management,3,105,1,Medium
18,Economics,2,103,0,Medium
19,Mathematics,2,115,0,Medium
20,Management,4,105,1,Medium
21,Management,6,188,0,Medium
22,Management,4,30,0,Low
23,Physics,6,176,1,High
24,Computer Science,7,94,0,Medium
25,Economics,2,7,0,Low
26,Computer Science,4,5,1,Low
27,Biology,5,122,0,Medium
28,Economics,1,68,0,Medium
29,Economics,4,34,1,Low
30,Biology,5,100,0,Medium
31,Mathematics,8,184,1,High
32,Economics,4,47,0,Medium
33,Biology,8,15,0,Low
34,Management,4,103,0,Medium
35,Mathematics,1,147,0,Medium
36,Biology,6,82,1,Medium
37,Physics,8,92,1,Medium
38,Management,6,17,1,Low
39,Economics,1,187,1,High
40,Mathematics,8,193,0,Medium
41,Mathematics,7,150,1,High
42,Management,1,49,0,Medium
43,Economics,1,123,0,Medium
44,Management,1,111,1,Medium
45,Management,8,62,1,Medium
46,Physics,4,192,0,Medium
47,Mathematics,4,182,1,High
48,Biology,1,125,0,Medium
49,Computer Science,2,43,0,Medium
50,Mathematics,1,98,0,Medium
51,Mathematics,6,90,0,Medium
52,Biology,2,78,1,Medium
53,Physics,3,159,0,Medium
54,Biology,4,170,1,High
55,Biology,4,191,0,Medium
56,Computer Science,7,105,1,Medium
57,Computer Science,7,89,0,Medium
58,Computer Science,7,103,1,Medium
59,Biology,4,15,0,Low
60,Biology,6,83,0,Medium
61,Management,5,73,0,Medium
62,Mathematics,3,193,1,High
63,Biology,2,39,0,Low
64,Economics,6,0,0,Low
65,Economics,3,46,0,Medium
66,Physics,1,57,1,Medium
67,Economics,4,195,0,Medium
68,Mathematics,1,45,0,Medium
69,Computer Science,5,5,0,Low
70,Mathematics,5,76,0,Medium
71,Computer Science,8,8,1,Low
72,Mathematics,5,24,0,Low
73,Computer Science,8,53,0,Medium
74,Economics,7,36,1,Low
75,Biology,2,71,0,Medium
76,Biology,3,89,0,Medium
77,Mathematics,7,135,1,High
78,Computer Science,7,22,1,Low
79,Physics,3,86,0,Medium
80,Physics,5,12,0,Low
81,Computer Science,3,126,1,High
